统计,,,,,,,,,,,
最大值,7.2,@,29,,,,,,,,
最小值,0.0,@,1,,,,,,,,
平均值,2.72,,,,,,,,,,
数据数量,309,,,,,,,,,,
NG次数,0,,,,,,,,,,
数量,力量,单位,位移,单位,合格判定,姿势,时间,日期,测定者,
1,0.0,N,0.000,mm,OK,--,0:21:22,2024/10/10,--,
2,0.0,N,0.000,mm,OK,--,0:21:22,2024/10/10,--,
3,0.0,N,0.000,mm,OK,--,0:21:22,2024/10/10,--,
4,0.0,N,0.000,mm,OK,--,0:21:22,2024/10/10,--,
5,0.0,N,0.000,mm,OK,--,0:21:22,2024/10/10,--,
6,0.0,N,0.000,mm,OK,--,0:21:22,2024/10/10,--,
7,0.0,N,0.000,mm,OK,--,0:21:22,2024/10/10,--,
8,0.0,N,0.000,mm,OK,--,0:21:22,2024/10/10,--,
9,0.0,N,0.000,mm,OK,--,0:21:22,2024/10/10,--,
10,0.0,N,0.000,mm,OK,--,0:21:23,2024/10/10,--,
11,0.0,N,0.000,mm,OK,--,0:21:23,2024/10/10,--,
12,0.0,N,0.000,mm,OK,--,0:21:23,2024/10/10,--,
13,0.0,N,0.000,mm,OK,--,0:21:23,2024/10/10,--,
14,0.0,N,0.000,mm,OK,--,0:21:23,2024/10/10,--,
15,0.0,N,0.000,mm,OK,--,0:21:23,2024/10/10,--,
16,0.0,N,0.000,mm,OK,--,0:21:23,2024/10/10,--,
17,0.0,N,0.000,mm,OK,--,0:21:23,2024/10/10,--,
18,0.0,N,0.000,mm,OK,--,0:21:23,2024/10/10,--,
19,0.0,N,0.000,mm,OK,--,0:21:23,2024/10/10,--,
20,0.0,N,0.000,mm,OK,--,0:21:24,2024/10/10,--,
21,0.0,N,0.000,mm,OK,--,0:21:24,2024/10/10,--,
22,0.0,N,0.000,mm,OK,--,0:21:24,2024/10/10,--,
23,0.0,N,0.000,mm,OK,--,0:21:24,2024/10/10,--,
24,0.0,N,0.000,mm,OK,--,0:21:24,2024/10/10,--,
25,0.0,N,0.000,mm,OK,--,0:21:24,2024/10/10,--,
26,0.0,N,0.000,mm,OK,--,0:21:24,2024/10/10,--,
27,0.0,N,0.000,mm,OK,--,0:21:24,2024/10/10,--,
28,3.9,N,0.000,mm,OK,--,0:21:24,2024/10/10,--,
29,7.2,N,0.000,mm,OK,--,0:21:25,2024/10/10,--,
30,7.2,N,0.000,mm,OK,--,0:21:25,2024/10/10,--,
31,7.2,N,0.000,mm,OK,--,0:21:25,2024/10/10,--,
32,7.2,N,0.000,mm,OK,--,0:21:25,2024/10/10,--,
33,7.1,N,0.000,mm,OK,--,0:21:25,2024/10/10,--,
34,0.3,N,0.000,mm,OK,--,0:21:25,2024/10/10,--,
35,0.0,N,0.000,mm,OK,--,0:21:25,2024/10/10,--,
36,0.0,N,0.000,mm,OK,--,0:21:25,2024/10/10,--,
37,0.0,N,0.000,mm,OK,--,0:21:25,2024/10/10,--,
38,0.0,N,0.000,mm,OK,--,0:21:25,2024/10/10,--,
39,0.0,N,0.000,mm,OK,--,0:21:26,2024/10/10,--,
40,6.4,N,0.000,mm,OK,--,0:21:26,2024/10/10,--,
41,7.0,N,0.000,mm,OK,--,0:21:26,2024/10/10,--,
42,7.0,N,0.000,mm,OK,--,0:21:26,2024/10/10,--,
43,7.0,N,0.000,mm,OK,--,0:21:26,2024/10/10,--,
44,7.0,N,0.000,mm,OK,--,0:21:26,2024/10/10,--,
