统计,,,,,,,,,,,
最大值,26.8,@,84,,,,,,,,
最小值,0.0,@,1,,,,,,,,
平均值,13.35,,,,,,,,,,
数据数量,108,,,,,,,,,,
NG次数,0,,,,,,,,,,
数量,力量,单位,位移,单位,合格判定,姿势,时间,日期,测定者,
1,0.0,N,0.000,mm,OK,--,22:39:31,2024/10/14,--,
2,0.0,N,0.000,mm,OK,--,22:39:31,2024/10/14,--,
3,0.0,N,0.000,mm,OK,--,22:39:31,2024/10/14,--,
4,0.0,N,0.000,mm,OK,--,22:39:32,2024/10/14,--,
5,0.0,N,0.000,mm,OK,--,22:39:32,2024/10/14,--,
6,0.0,N,0.000,mm,OK,--,22:39:32,2024/10/14,--,
7,0.0,N,0.000,mm,OK,--,22:39:32,2024/10/14,--,
8,0.0,N,0.000,mm,OK,--,22:39:32,2024/10/14,--,
9,0.0,N,0.000,mm,OK,--,22:39:32,2024/10/14,--,
10,0.0,N,0.000,mm,OK,--,22:39:32,2024/10/14,--,
11,0.0,N,0.000,mm,OK,--,22:39:32,2024/10/14,--,
12,0.0,N,0.000,mm,OK,--,22:39:32,2024/10/14,--,
13,0.0,N,0.000,mm,OK,--,22:39:32,2024/10/14,--,
14,0.0,N,0.000,mm,OK,--,22:39:33,2024/10/14,--,
15,0.0,N,0.000,mm,OK,--,22:39:33,2024/10/14,--,
16,0.0,N,0.000,mm,OK,--,22:39:33,2024/10/14,--,
17,0.0,N,0.000,mm,OK,--,22:39:33,2024/10/14,--,
18,0.0,N,0.000,mm,OK,--,22:39:33,2024/10/14,--,
19,0.0,N,0.000,mm,OK,--,22:39:33,2024/10/14,--,
20,0.0,N,0.000,mm,OK,--,22:39:33,2024/10/14,--,
21,0.0,N,0.000,mm,OK,--,22:39:33,2024/10/14,--,
22,0.0,N,0.000,mm,OK,--,22:39:33,2024/10/14,--,
23,0.0,N,0.000,mm,OK,--,22:39:33,2024/10/14,--,
24,0.0,N,0.000,mm,OK,--,22:39:34,2024/10/14,--,
25,0.0,N,0.000,mm,OK,--,22:39:34,2024/10/14,--,
26,0.0,N,0.000,mm,OK,--,22:39:34,2024/10/14,--,
27,0.0,N,0.000,mm,OK,--,22:39:34,2024/10/14,--,
28,0.0,N,0.000,mm,OK,--,22:39:34,2024/10/14,--,
29,0.0,N,0.000,mm,OK,--,22:39:34,2024/10/14,--,
30,0.0,N,0.000,mm,OK,--,22:39:34,2024/10/14,--,
31,0.0,N,0.000,mm,OK,--,22:39:34,2024/10/14,--,
32,0.0,N,0.000,mm,OK,--,22:39:34,2024/10/14,--,
33,0.0,N,0.000,mm,OK,--,22:39:34,2024/10/14,--,
34,0.0,N,0.000,mm,OK,--,22:39:35,2024/10/14,--,
35,0.0,N,0.000,mm,OK,--,22:39:35,2024/10/14,--,
36,0.6,N,0.000,mm,OK,--,22:39:35,2024/10/14,--,
37,1.4,N,0.000,mm,OK,--,22:39:35,2024/10/14,--,
38,2.1,N,0.000,mm,OK,--,22:39:35,2024/10/14,--,
39,2.8,N,0.000,mm,OK,--,22:39:35,2024/10/14,--,
40,3.6,N,0.000,mm,OK,--,22:39:35,2024/10/14,--,
41,4.3,N,0.000,mm,OK,--,22:39:35,2024/10/14,--,
42,5.0,N,0.000,mm,OK,--,22:39:35,2024/10/14,--,
43,5.7,N,0.000,mm,OK,--,22:39:35,2024/10/14,--,
44,6.4,N,0.000,mm,OK,--,22:39:36,2024/10/14,--,
45,7.2,N,0.000,mm,OK,--,22:39:36,2024/10/14,--,
46,8.0,N,0.000,mm,OK,--,22:39:36,2024/10/14,--,
47,8.6,N,0.000,mm,OK,--,22:39:36,2024/10/14,--,
48,9.4,N,0.000,mm,OK,--,22:39:36,2024/10/14,--,
49,9.7,N,0.000,mm,OK,--,22:39:36,2024/10/14,--,
50,11.4,N,0.000,mm,OK,--,22:39:36,2024/10/14,--,
51,11.9,N,0.000,mm,OK,--,22:39:36,2024/10/14,--,
52,13.0,N,0.000,mm,OK,--,22:39:36,2024/10/14,--,
53,13.4,N,0.000,mm,OK,--,22:39:36,2024/10/14,--,
54,14.4,N,0.000,mm,OK,--,22:39:37,2024/10/14,--,
55,14.8,N,0.000,mm,OK,--,22:39:37,2024/10/14,--,
56,16.0,N,0.000,mm,OK,--,22:39:37,2024/10/14,--,
57,16.5,N,0.000,mm,OK,--,22:39:37,2024/10/14,--,
58,17.7,N,0.000,mm,OK,--,22:39:37,2024/10/14,--,
59,18.5,N,0.000,mm,OK,--,22:39:37,2024/10/14,--,
60,19.8,N,0.000,mm,OK,--,22:39:37,2024/10/14,--,
61,20.0,N,0.000,mm,OK,--,22:39:37,2024/10/14,--,
62,20.8,N,0.000,mm,OK,--,22:39:37,2024/10/14,--,
63,21.0,N,0.000,mm,OK,--,22:39:37,2024/10/14,--,
64,21.3,N,0.000,mm,OK,--,22:39:38,2024/10/14,--,
65,21.8,N,0.000,mm,OK,--,22:39:38,2024/10/14,--,
66,22.0,N,0.000,mm,OK,--,22:39:38,2024/10/14,--,
67,22.4,N,0.000,mm,OK,--,22:39:38,2024/10/14,--,
