统计,,,,,,,,,,,
最大值,26.4,@,126,,,,,,,,
最小值,0.0,@,1,,,,,,,,
平均值,6.34,,,,,,,,,,
数据数量,181,,,,,,,,,,
NG次数,0,,,,,,,,,,
数量,力量,单位,位移,单位,合格判定,姿势,时间,日期,测定者,
1,0.0,N,0.000,mm,OK,--,22:41:00,2024/10/14,--,
2,0.0,N,0.000,mm,OK,--,22:41:01,2024/10/14,--,
3,0.0,N,0.000,mm,OK,--,22:41:01,2024/10/14,--,
4,0.0,N,0.000,mm,OK,--,22:41:01,2024/10/14,--,
5,0.0,N,0.000,mm,OK,--,22:41:01,2024/10/14,--,
6,0.0,N,0.000,mm,OK,--,22:41:01,2024/10/14,--,
7,0.0,N,0.000,mm,OK,--,22:41:01,2024/10/14,--,
8,0.0,N,0.000,mm,OK,--,22:41:01,2024/10/14,--,
9,0.0,N,0.000,mm,OK,--,22:41:01,2024/10/14,--,
10,0.0,N,0.000,mm,OK,--,22:41:01,2024/10/14,--,
11,0.0,N,0.000,mm,OK,--,22:41:01,2024/10/14,--,
12,0.0,N,0.000,mm,OK,--,22:41:02,2024/10/14,--,
13,0.0,N,0.000,mm,OK,--,22:41:02,2024/10/14,--,
14,0.0,N,0.000,mm,OK,--,22:41:02,2024/10/14,--,
15,0.0,N,0.000,mm,OK,--,22:41:02,2024/10/14,--,
16,0.0,N,0.000,mm,OK,--,22:41:02,2024/10/14,--,
17,0.0,N,0.000,mm,OK,--,22:41:02,2024/10/14,--,
18,0.0,N,0.000,mm,OK,--,22:41:02,2024/10/14,--,
19,0.0,N,0.000,mm,OK,--,22:41:02,2024/10/14,--,
20,0.0,N,0.000,mm,OK,--,22:41:02,2024/10/14,--,
21,0.0,N,0.000,mm,OK,--,22:41:02,2024/10/14,--,
22,0.0,N,0.000,mm,OK,--,22:41:03,2024/10/14,--,
23,0.0,N,0.000,mm,OK,--,22:41:03,2024/10/14,--,
24,0.0,N,0.000,mm,OK,--,22:41:03,2024/10/14,--,
25,0.0,N,0.000,mm,OK,--,22:41:03,2024/10/14,--,
26,0.0,N,0.000,mm,OK,--,22:41:03,2024/10/14,--,
27,0.0,N,0.000,mm,OK,--,22:41:03,2024/10/14,--,
28,0.0,N,0.000,mm,OK,--,22:41:03,2024/10/14,--,
29,0.0,N,0.000,mm,OK,--,22:41:03,2024/10/14,--,
30,0.0,N,0.000,mm,OK,--,22:41:03,2024/10/14,--,
31,0.0,N,0.000,mm,OK,--,22:41:03,2024/10/14,--,
32,0.0,N,0.000,mm,OK,--,22:41:04,2024/10/14,--,
33,0.0,N,0.000,mm,OK,--,22:41:04,2024/10/14,--,
34,0.0,N,0.000,mm,OK,--,22:41:04,2024/10/14,--,
35,0.0,N,0.000,mm,OK,--,22:41:04,2024/10/14,--,
36,0.0,N,0.000,mm,OK,--,22:41:04,2024/10/14,--,
37,0.0,N,0.000,mm,OK,--,22:41:04,2024/10/14,--,
38,0.0,N,0.000,mm,OK,--,22:41:04,2024/10/14,--,
39,0.0,N,0.000,mm,OK,--,22:41:04,2024/10/14,--,
40,0.0,N,0.000,mm,OK,--,22:41:04,2024/10/14,--,
41,0.0,N,0.000,mm,OK,--,22:41:04,2024/10/14,--,
42,0.0,N,0.000,mm,OK,--,22:41:05,2024/10/14,--,
43,0.0,N,0.000,mm,OK,--,22:41:05,2024/10/14,--,
44,0.0,N,0.000,mm,OK,--,22:41:05,2024/10/14,--,
45,0.0,N,0.000,mm,OK,--,22:41:05,2024/10/14,--,
46,0.0,N,0.000,mm,OK,--,22:41:05,2024/10/14,--,
47,0.0,N,0.000,mm,OK,--,22:41:05,2024/10/14,--,
48,0.0,N,0.000,mm,OK,--,22:41:05,2024/10/14,--,
49,0.0,N,0.000,mm,OK,--,22:41:05,2024/10/14,--,
50,0.0,N,0.000,mm,OK,--,22:41:05,2024/10/14,--,
51,0.0,N,0.000,mm,OK,--,22:41:05,2024/10/14,--,
52,0.0,N,0.000,mm,OK,--,22:41:06,2024/10/14,--,
53,0.0,N,0.000,mm,OK,--,22:41:06,2024/10/14,--,
54,0.0,N,0.000,mm,OK,--,22:41:06,2024/10/14,--,
55,0.0,N,0.000,mm,OK,--,22:41:06,2024/10/14,--,
56,0.0,N,0.000,mm,OK,--,22:41:06,2024/10/14,--,
57,0.0,N,0.000,mm,OK,--,22:41:06,2024/10/14,--,
58,0.0,N,0.000,mm,OK,--,22:41:06,2024/10/14,--,
59,0.0,N,0.000,mm,OK,--,22:41:06,2024/10/14,--,
60,0.0,N,0.000,mm,OK,--,22:41:06,2024/10/14,--,
61,0.0,N,0.000,mm,OK,--,22:41:06,2024/10/14,--,
62,0.0,N,0.000,mm,OK,--,22:41:07,2024/10/14,--,
63,0.0,N,0.000,mm,OK,--,22:41:07,2024/10/14,--,
64,0.0,N,0.000,mm,OK,--,22:41:07,2024/10/14,--,
65,0.0,N,0.000,mm,OK,--,22:41:07,2024/10/14,--,
66,0.0,N,0.000,mm,OK,--,22:41:07,2024/10/14,--,
67,0.0,N,0.000,mm,OK,--,22:41:07,2024/10/14,--,
