plant_id: 1, position: NA, ethanol: NA
plant_id: 2, position: Center, ethanol: 0
plant_id: 3, position: Center, ethanol: 0
plant_id: 4, position: Center, ethanol: 0
plant_id: 5, position: Center, ethanol: 0
plant_id: 6, position: Center, ethanol: 0
plant_id: 7, position: Center, ethanol: 0
plant_id: 8, position: Center, ethanol: 0
plant_id: 9, position: Center, ethanol: 0
plant_id: 10, position: Center, ethanol: 0
plant_id: 11, position: Center, ethanol: 0
plant_id: 12, position: Center, ethanol: 0
plant_id: 13, position: Center, ethanol: 0
plant_id: 14, position: Center, ethanol: 0
plant_id: 15, position: Center, ethanol: 0
plant_id: 16, position: Center, ethanol: 0
plant_id: 17, position: Center, ethanol: 0
plant_id: 18, position: Center, ethanol: 0
plant_id: 19, position: Center, ethanol: 0
plant_id: 20, position: Center, ethanol: 0
plant_id: 21, position: Center, ethanol: 5
plant_id: 22, position: Center, ethanol: 5
plant_id: 23, position: Center, ethanol: 5
plant_id: 24, position: Center, ethanol: 5
plant_id: 25, position: Center, ethanol: 5
plant_id: 26, position: Center, ethanol: 5
plant_id: 27, position: Center, ethanol: 5
plant_id: 28, position: Center, ethanol: 5
plant_id: 29, position: Center, ethanol: 5
plant_id: 30, position: Center, ethanol: 5
plant_id: 31, position: Center, ethanol: 5
plant_id: 32, position: Center, ethanol: 5
plant_id: 33, position: Center, ethanol: 5
plant_id: 34, position: Center, ethanol: 5
plant_id: 35, position: Center, ethanol: 5
plant_id: 36, position: Center, ethanol: 5
plant_id: 37, position: Center, ethanol: 5
plant_id: 38, position: Center, ethanol: 5
plant_id: 39, position: Center, ethanol: 5
plant_id: 40, position: Center, ethanol: 5
plant_id: 41, position: Center, ethanol: 10
plant_id: 42, position: Center, ethanol: 10
plant_id: 43, position: Center, ethanol: 10
plant_id: 44, position: Center, ethanol: 10
plant_id: 45, position: Center, ethanol: 10
plant_id: 46, position: Center, ethanol: 10
plant_id: 47, position: Center, ethanol: 10
plant_id: 48, position: Center, ethanol: 10
plant_id: 49, position: Center, ethanol: 10
plant_id: 50, position: Center, ethanol: 10
plant_id: 51, position: Center, ethanol: 10
plant_id: 52, position: Center, ethanol: 10
plant_id: 53, position: Center, ethanol: 10
plant_id: 54, position: Center, ethanol: 10
plant_id: 55, position: Center, ethanol: 10
plant_id: 56, position: Center, ethanol: 10
plant_id: 57, position: Center, ethanol: 10
plant_id: 58, position: Center, ethanol: 10
plant_id: 59, position: Center, ethanol: 10
plant_id: 60, position: Center, ethanol: 10
plant_id: 61, position: Center, ethanol: 20
plant_id: 62, position: Center, ethanol: 20
plant_id: 63, position: Center, ethanol: 20
plant_id: 64, position: Center, ethanol: 20
plant_id: 65, position: Center, ethanol: 20
plant_id: 66, position: Center, ethanol: 20
plant_id: 67, position: Center, ethanol: 20
plant_id: 68, position: Center, ethanol: 20
plant_id: 69, position: Center, ethanol: 20
plant_id: 70, position: Center, ethanol: 20
plant_id: 71, position: Center, ethanol: 20
plant_id: 72, position: Center, ethanol: 20
plant_id: 73, position: Center, ethanol: 20
plant_id: 74, position: Center, ethanol: 20
plant_id: 75, position: Center, ethanol: 20
plant_id: 76, position: Center, ethanol: 20
plant_id: 77, position: Center, ethanol: 20
plant_id: 78, position: Center, ethanol: 20
plant_id: 79, position: Center, ethanol: 20
plant_id: 80, position: Center, ethanol: 20
plant_id: 81, position: Center, ethanol: 50
plant_id: 82, position: Center, ethanol: 50
plant_id: 83, position: Center, ethanol: 50
plant_id: 84, position: Center, ethanol: 50
plant_id: 85, position: Center, ethanol: 50
plant_id: 86, position: Center, ethanol: 50
plant_id: 87, position: Center, ethanol: 50
plant_id: 88, position: Center, ethanol: 50
plant_id: 89, position: Center, ethanol: 50
plant_id: 90, position: Center, ethanol: 50
plant_id: 91, position: Center, ethanol: 50
plant_id: 92, position: Center, ethanol: 50
plant_id: 93, position: Center, ethanol: 50
plant_id: 94, position: Center, ethanol: 50
plant_id: 95, position: Center, ethanol: 50
plant_id: 96, position: Center, ethanol: 50
plant_id: 97, position: Center, ethanol: 50
plant_id: 98, position: Center, ethanol: 50
plant_id: 99, position: Center, ethanol: 50
plant_id: 100, position: Center, ethanol: 50
plant_id: 101, position: Center, ethanol: 100
plant_id: 102, position: Center, ethanol: 100
plant_id: 103, position: Center, ethanol: 100
plant_id: 104, position: Center, ethanol: 100
plant_id: 105, position: Center, ethanol: 100
plant_id: 106, position: Center, ethanol: 100
plant_id: 107, position: Center, ethanol: 100
plant_id: 108, position: Center, ethanol: 100
plant_id: 109, position: Center, ethanol: 100
plant_id: 110, position: Center, ethanol: 100
plant_id: 111, position: Center, ethanol: 100
plant_id: 112, position: Center, ethanol: 100
plant_id: 113, position: Center, ethanol: 100
plant_id: 114, position: Center, ethanol: 100
plant_id: 115, position: Center, ethanol: 100
plant_id: 116, position: Center, ethanol: 100
plant_id: 117, position: Center, ethanol: 100
plant_id: 118, position: Center, ethanol: 100
plant_id: 119, position: Center, ethanol: 100
plant_id: 120, position: Center, ethanol: 100
